utc_date_time,algorithm,function,dimension,generations,evaluations,seed,run,best_fitness,kg_carbon,total_power,pue,country_code,median_carbon_cost,lower_carbon_cost,upper_carbon_cost
2021-01-23 02:24:59.650049,de,rosenbrock,10,500,200.0,22,22,1.1910037737795054,4.6714293408242025e-05,1.840619611449986e-05,1.58,COD,5.955279734450996e-09,3.6921729092035653e-09,9.398243851682735e-09
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,USA,8.744518639044653e-07,1.0302272407359376e-08,2.1632419306074947e-06
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,ESP,6.256719776399351e-08,1.5886197728998487e-08,1.286004169742464e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,CHL,-6.217359660148901e-09,-1.1940234415850233e-08,-5.385743355408443e-10
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,CHN,4.4025602888482607e-07,7.920687265115808e-08,9.146366743469054e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,CAN,-1.5026618664047514e-07,-2.013613773862779e-07,-9.971015361911773e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,IND,1.5608303002846282e-06,9.047546553524633e-07,2.8732101803084567e-06
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,FRA,-2.014247734424222e-08,-7.770874388656319e-08,4.8011907025835504e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,GBR,-6.974564757667801e-08,-1.2168337089049234e-07,-1.431538468771803e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,AUS,9.401462388753833e-08,3.84699066534205e-08,1.6992688338399993e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,DEU,-9.228579995288283e-08,-1.5467308996949933e-07,-2.9445581237893028e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,MAR,1.0658371137738767e-08,5.415962862430628e-09,1.8034303774620718e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,BRA,4.4325607327022125e-07,2.5615065510052817e-07,7.536911678550768e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,NOR,-3.11440115590425e-08,-4.1159015161754626e-08,-2.1939266089532472e-08
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,ISL,-1.5988240476262757e-09,-2.1090251289320115e-09,-1.1732487922912802e-09
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,RUS,-2.0373176565695527e-07,-2.6421013860375156e-07,-1.4612871437316544e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,ZAF,6.055494482633742e-08,3.084009355495775e-08,1.0265425041842743e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,MEX,2.1753222667649357e-07,1.1844104554704074e-07,3.688037676446486e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,JPN,1.0012340334715126e-07,4.724097896785755e-09,2.2794885494723363e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,AGO,6.415993601459082e-08,3.6560089974357355e-08,1.1303611974796464e-07
2021-01-23 02:25:09.655930,de,rosenbrock,10,500,200.0,23,23,1.9181510987636141,4.6408522432838066e-05,1.8285717346037655e-05,1.58,COD,5.916299123585432e-09,3.668005588466396e-09,9.336727129926943e-09
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,USA,8.598808383694502e-07,1.0130605240174155e-08,2.127195745894072e-06
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,ESP,6.152463810587482e-08,1.5621485396257865e-08,1.2645754320738338e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,CHL,-6.113759553490199e-09,-1.1741273823793644e-08,-5.296000503690686e-10
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,CHN,4.3292002549387667e-07,7.788704544100669e-08,8.993960477472163e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,CAN,-1.4776229530812513e-07,-1.980060848964653e-07,-9.80486794380264e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,IND,1.5348221240772785e-06,8.89678693220939e-07,2.8253337669427076e-06
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,FRA,-1.9806842458165196e-08,-7.641388005448293e-08,4.721188274532845e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,GBR,-6.858347312918096e-08,-1.1965575613247088e-07,-1.4076846873987562e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,AUS,9.244805454064078e-08,3.782888109750965e-08,1.6709538509452485e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,DEU,-9.074803806667835e-08,-1.5209576623499186e-07,-2.895492836856874e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,MAR,1.0480770283511955e-08,5.325716461888e-09,1.7733797467008882e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,BRA,4.3587008002259685e-07,2.5188240673793055e-07,7.41132382511197e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,NOR,-3.0625057678993144e-08,-4.047318088582298e-08,-2.1573691242470344e-08
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,ISL,-1.57218278012421e-09,-2.0738823609007977e-09,-1.1536989018775642e-09
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,RUS,-2.0033697529488048e-07,-2.598075947530065e-07,-1.4369376590267656e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,ZAF,5.954591541745003e-08,3.032620387247131e-08,1.009437186374715e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,MEX,2.1390747869386684e-07,1.1646745778275374e-07,3.6265837607127425e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,JPN,9.845504316971404e-08,4.645380069166719e-09,2.2415053428120727e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,AGO,6.309083649684346e-08,3.595088776830315e-08,1.1115259447320286e-07
2021-01-23 02:25:19.609079,de,rosenbrock,10,500,200.0,24,24,1.4476350514046352,4.563521541237858e-05,1.7981021724273513e-05,1.58,COD,5.81771560039682e-09,3.606885468196447e-09,9.18114888138141e-09
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,USA,8.746936899079569e-07,1.0305121457679914e-08,2.1638401661105083e-06
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,ESP,6.258450046069927e-08,1.5890590990498698e-08,1.2863598088138402e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,CHL,-6.219079044944045e-09,-1.1943536437709555e-08,-5.387232760194722e-10
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,CHN,4.40377779847198e-07,7.922877698031894e-08,9.148896132915564e-07
2021-01-23 02:25:29.619279,de,rosenbrock,10,500,200.0,25,25,1.7553496833815534,4.6421356515503034e-05,1.829077418464627e-05,1.58,CAN,-1.5030774212554544e-07,-2.01417063032522e-07,-9.973772804482662e-08
